p_int,rh_int,t_int,ts
104.32,11.91,20.282,1550939774.12743
104.33,11.89,20.319,1550939784.64618
104.338,11.87,20.358,1550939795.17541
104.344,11.85,20.403,1550939805.70195
104.351,11.85,20.43,1550939816.22515
104.362,11.83,20.467,1550939826.74599
104.368,11.83,20.494,1550939837.23317
104.372,11.82,20.529,1550939847.76393
104.382,11.81,20.568,1550939858.28422
104.389,11.8,20.598,1550939868.78507
104.393,11.8,20.618,1550939879.32035
104.402,11.79,20.66,1550939889.82512
104.407,11.78,20.683,1550939900.34716
104.415,11.77,20.712,1550939910.82722
104.422,11.77,20.751,1550939921.32691
104.424,11.76,20.771,1550939931.85352
104.432,11.74,20.801,1550939942.39434
104.438,11.74,20.823,1550939952.92970
104.445,11.73,20.856,1550939963.46209
104.451,11.73,20.88,1550939973.99190
104.453,11.72,20.911,1550939984.52120
104.461,11.72,20.938,1550939995.04817
104.467,11.7,20.973,1550940005.56029
104.474,11.7,21.001,1550940016.08535
104.479,11.7,21.036,1550940026.61390
104.485,11.7,21.07,1550940037.12268
104.492,11.68,21.104,1550940047.63324
104.494,11.68,21.128,1550940058.12820
104.505,11.68,21.157,1550940068.63267
104.507,11.66,21.183,1550940079.14837
104.511,11.66,21.21,1550940089.65248
104.518,11.65,21.237,1550940100.14475
104.524,11.65,21.275,1550940110.67606
104.527,11.64,21.298,1550940121.20687
104.536,11.64,21.331,1550940131.72578
104.54,11.64,21.36,1550940142.24633
104.55,11.63,21.393,1550940152.75792
104.555,11.63,21.417,1550940163.28065
104.555,11.63,21.433,1550940173.77922
104.564,11.62,21.452,1550940184.32012
104.573,11.62,21.5,1550940194.84250
104.575,11.61,21.525,1550940205.35653
104.582,11.61,21.552,1550940215.86444
104.586,11.61,21.575,1550940226.36053
104.595,11.6,21.604,1550940236.89783
104.605,11.6,21.623,1550940247.38514
104.613,11.59,21.648,1550940257.89027
104.623,11.58,21.678,1550940268.42941
104.624,11.58,21.696,1550940278.92022
104.634,11.57,21.738,1550940289.43260
104.637,11.57,21.758,1550940299.95221
104.645,11.56,21.77,1550940310.48139
104.649,11.55,21.788,1550940320.97051
104.657,11.55,21.82,1550940331.46913
104.663,11.55,21.843,1550940341.96686
104.666,11.54,21.867,1550940352.47662
104.672,11.54,21.895,1550940363.03446
104.68,11.54,21.915,1550940373.60335
104.687,11.53,21.962,1550940384.12742
104.692,11.53,21.981,1550940394.63156
104.698,11.53,22,1550940405.15143
104.702,11.51,22.031,1550940415.66964
104.704,11.51,22.046,1550940426.19435
104.713,11.51,22.057,1550940436.76522
104.72,11.5,22.089,1550940447.29401
104.723,11.5,22.105,1550940457.82302
104.727,11.5,22.131,1550940468.35649
104.732,11.49,22.157,1550940478.86704
104.74,11.49,22.172,1550940489.37712
104.742,11.47,22.223,1550940499.88901
104.741,11.29,22.289,1550940510.42548
104.743,11.27,22.33,1550940520.96241
104.764,11.43,22.284,1550940531.45311
104.789,11.51,22.285,1550940542.00988
104.786,11.51,22.28,1550940552.57068
104.784,11.5,22.29,1550940563.09867
104.792,11.5,22.291,1550940573.59949
104.802,11.49,22.29,1550940584.07943
104.82,11.48,22.322,1550940594.61116
104.841,11.49,22.322,1550940605.13134
104.863,11.5,22.328,1550940615.67389
104.893,11.49,22.352,1550940626.19827
104.925,11.49,22.356,1550940636.71384
104.952,11.49,22.358,1550940647.21930
104.983,11.5,22.379,1550940657.74992
105.016,11.51,22.396,1550940668.26291
105.053,11.51,22.404,1550940678.75811
105.087,11.52,22.425,1550940689.30346
105.123,11.53,22.431,1550940699.79788
105.162,11.54,22.46,1550940710.32927
105.198,11.55,22.462,1550940720.81233
105.234,11.56,22.494,1550940731.31533
105.269,11.57,22.522,1550940741.84685
105.305,11.58,22.548,1550940752.39620
105.341,11.59,22.578,1550940762.92909
105.375,11.6,22.612,1550940773.46116
105.408,11.62,22.648,1550940783.98632
105.44,11.63,22.668,1550940794.49710
105.475,11.64,22.703,1550940805.02060
105.505,11.65,22.733,1550940815.55194
105.541,11.67,22.771,1550940826.07449
105.573,11.68,22.797,1550940836.56828
105.602,11.69,22.837,1550940847.10514
105.632,11.69,22.876,1550940857.63374
105.665,11.7,22.911,1550940868.14334
105.694,11.72,22.958,1550940878.66961
105.728,11.73,22.999,1550940889.19369
105.751,11.74,23.024,1550940899.68003
105.78,11.75,23.074,1550940910.18511
105.807,11.76,23.121,1550940920.71570
105.831,11.76,23.162,1550940931.25050
105.86,11.78,23.198,1550940941.76781
105.887,11.78,23.258,1550940952.27336
105.916,11.79,23.315,1550940962.81298
105.945,11.8,23.349,1550940973.36738
105.966,11.8,23.409,1550940983.89715
105.996,11.82,23.45,1550940994.39743
106.025,11.83,23.516,1550941004.92015
106.049,11.83,23.569,1550941015.44236
106.075,11.83,23.62,1550941025.96068
106.1,11.83,23.667,1550941036.50420
106.118,11.85,23.719,1550941047.02225
106.137,11.85,23.778,1550941057.55271
106.157,11.86,23.828,1550941068.08574
106.176,11.86,23.885,1550941078.61311
106.194,11.87,23.932,1550941089.10632
106.208,11.87,23.993,1550941099.63152
106.223,11.87,24.037,1550941110.15943
106.241,11.87,24.093,1550941120.68324
106.255,11.87,24.135,1550941131.18594
106.268,11.87,24.183,1550941141.67474
106.282,11.88,24.244,1550941152.16395
106.294,11.88,24.294,1550941162.66262
106.309,11.88,24.366,1550941173.19243
106.321,11.88,24.422,1550941183.72420
106.326,11.88,24.451,1550941194.21163
106.338,11.88,24.509,1550941204.73703
106.343,11.87,24.567,1550941215.28296
106.353,11.87,24.61,1550941225.79380
106.363,11.87,24.668,1550941236.30849
106.373,11.87,24.733,1550941246.83836
106.379,11.86,24.766,1550941257.34259
106.385,11.86,24.807,1550941267.85179
106.393,11.85,24.869,1550941278.38211
106.402,11.85,24.922,1550941288.92019
106.407,11.84,24.966,1550941299.44976
106.412,11.83,25.015,1550941309.96978
106.419,11.83,25.064,1550941320.49139
106.423,11.82,25.099,1550941331.03782
106.428,11.82,25.157,1550941341.56198
106.433,11.81,25.193,1550941352.07493
106.439,11.8,25.241,1550941362.57950
106.448,11.79,25.286,1550941373.07549
106.451,11.8,25.333,1550941383.63110
106.454,11.77,25.364,1550941394.13422
106.46,11.77,25.405,1550941404.63624
106.467,11.76,25.454,1550941415.17847
106.469,11.75,25.485,1550941425.70677
106.473,11.75,25.531,1550941436.23853
106.477,11.74,25.567,1550941446.75799
106.481,11.73,25.613,1550941457.29979
106.486,11.72,25.643,1550941467.83352
106.49,11.72,25.672,1550941478.36466
106.494,11.71,25.709,1550941488.89491
106.494,11.7,25.738,1550941499.36922
106.502,11.69,25.774,1550941509.90392
106.502,11.69,25.808,1550941520.40856
106.503,11.67,25.841,1550941530.93260
106.506,11.66,25.885,1550941541.46787
106.511,11.65,25.915,1550941551.98690
106.514,11.65,25.945,1550941562.51530
106.518,11.64,25.975,1550941573.03624
106.519,11.63,26.004,1550941583.55207
106.522,11.62,26.038,1550941594.08605
106.524,11.61,26.073,1550941604.62826
106.524,11.61,26.092,1550941615.12219
106.529,11.61,26.115,1550941625.65147
106.534,11.6,26.152,1550941636.19418
106.539,11.59,26.171,1550941646.70313
106.544,11.58,26.208,1550941657.18338
106.544,11.58,26.231,1550941667.69893
106.545,11.57,26.267,1550941678.18983
106.546,11.57,26.295,1550941688.72829
106.554,11.56,26.313,1550941699.24659
106.552,11.55,26.327,1550941709.76859
106.555,11.54,26.37,1550941720.31722
106.556,11.54,26.387,1550941730.83807
106.558,11.53,26.409,1550941741.35804
106.563,11.53,26.434,1550941751.88675
106.567,11.52,26.448,1550941762.40821
106.568,11.52,26.477,1550941772.93342
106.569,11.51,26.5,1550941783.44586
106.574,11.5,26.526,1550941793.97923
106.576,11.51,26.548,1550941804.53131
106.575,11.49,26.57,1550941815.05593
106.58,11.49,26.586,1550941825.58585
106.58,11.49,26.6,1550941836.09895
106.582,11.48,26.623,1550941846.61126
106.581,11.48,26.651,1550941857.15901
106.582,11.47,26.661,1550941867.66701
106.59,11.47,26.676,1550941878.18394
106.59,11.47,26.701,1550941888.68186
106.591,11.46,26.717,1550941899.21610
106.594,11.46,26.732,1550941909.71309
106.591,11.45,26.745,1550941920.24907
106.595,11.45,26.763,1550941930.74912
106.597,11.45,26.778,1550941941.27840
106.604,11.44,26.809,1550941951.77186
106.607,11.44,26.818,1550941962.28903
106.612,11.44,26.829,1550941972.82587
106.616,11.44,26.855,1550941983.36233
106.616,11.43,26.878,1550941993.91426
106.614,11.43,26.888,1550942004.42568
106.616,11.43,26.899,1550942014.91344
106.613,11.43,26.912,1550942025.44514
106.619,11.43,26.917,1550942035.96927
106.62,11.42,26.936,1550942046.49806
106.619,11.42,26.95,1550942057.03062
106.624,11.42,26.968,1550942067.52732
106.625,11.42,26.979,1550942078.06359
106.626,11.42,26.989,1550942088.58844
106.629,11.42,26.999,1550942099.12830
106.631,11.42,27.015,1550942109.65943
106.629,11.41,27.024,1550942120.19260
106.638,11.42,27.036,1550942130.72994
106.635,11.41,27.036,1550942141.23348
106.638,11.41,27.049,1550942151.74520
106.641,11.42,27.058,1550942162.30919
106.642,11.41,27.077,1550942172.86344
106.647,11.41,27.082,1550942183.36190
106.645,11.41,27.095,1550942193.89622
106.645,11.41,27.111,1550942204.40470
106.649,11.41,27.129,1550942214.89725
106.649,11.42,27.133,1550942225.42426
106.651,11.41,27.134,1550942235.96349
106.652,11.41,27.151,1550942246.48384
106.65,11.41,27.167,1550942256.97544
106.656,11.41,27.17,1550942267.48976
106.652,11.41,27.18,1550942278.02512
106.654,11.41,27.192,1550942288.55627
106.659,11.42,27.2,1550942299.07189
106.658,11.42,27.209,1550942309.58778
106.662,11.41,27.22,1550942320.10716
106.66,11.42,27.227,1550942330.63638
106.664,11.42,27.248,1550942341.12281
106.665,11.42,27.245,1550942351.65385
106.668,11.42,27.253,1550942362.18574
106.664,11.42,27.26,1550942372.72020
106.668,11.42,27.272,1550942383.25395
106.667,11.42,27.283,1550942393.74681
106.672,11.42,27.283,1550942404.28317
106.669,11.43,27.299,1550942414.79311
106.672,11.43,27.305,1550942425.31313
106.676,11.43,27.317,1550942435.81713
106.67,11.43,27.323,1550942446.35017
106.674,11.43,27.33,1550942456.88265
106.675,11.43,27.333,1550942467.41114
106.677,11.44,27.349,1550942477.92418
106.682,11.43,27.356,1550942488.44942
106.679,11.43,27.356,1550942498.96949
106.68,11.43,27.367,1550942509.47610
106.683,11.44,27.368,1550942520.01166
106.681,11.43,27.376,1550942530.54403
106.685,11.44,27.378,1550942541.07463
106.686,11.44,27.39,1550942551.60584
106.682,11.44,27.397,1550942562.12578
106.689,11.44,27.401,1550942572.65312
106.687,11.45,27.403,1550942583.19436
106.69,11.44,27.423,1550942593.74599
106.692,11.45,27.426,1550942604.22970
106.69,11.45,27.419,1550942614.73876
106.692,11.45,27.426,1550942625.26865
106.694,11.45,27.442,1550942635.75893
106.695,11.46,27.438,1550942646.28051
106.7,11.46,27.447,1550942656.81318
106.696,11.46,27.454,1550942667.33630
106.701,11.46,27.46,1550942677.86355
106.699,11.46,27.464,1550942688.39215
106.702,11.46,27.471,1550942698.90221
106.702,11.46,27.466,1550942709.42264
106.698,11.47,27.472,1550942719.95085
106.702,11.47,27.48,1550942730.47946
106.703,11.47,27.484,1550942740.96655
106.705,11.48,27.495,1550942751.46753
106.704,11.48,27.495,1550942761.98229
106.704,11.48,27.503,1550942772.50274
106.709,11.48,27.498,1550942783.02970
106.709,11.48,27.509,1550942793.52843
106.705,11.49,27.516,1550942804.01630
106.709,11.49,27.509,1550942814.51715
106.713,11.49,27.513,1550942825.04026
106.709,11.49,27.52,1550942835.58651
106.713,11.49,27.531,1550942846.08184
106.711,11.5,27.534,1550942856.59370
106.716,11.5,27.535,1550942867.11965
106.716,11.5,27.538,1550942877.63388
106.713,11.5,27.543,1550942888.15678
106.714,11.51,27.545,1550942898.69204
106.717,11.51,27.545,1550942909.19835
106.717,11.51,27.551,1550942919.72609
106.717,11.51,27.559,1550942930.26425
106.718,11.52,27.556,1550942940.79383
106.722,11.52,27.572,1550942951.28683
106.719,11.52,27.569,1550942961.81799
106.722,11.52,27.572,1550942972.34372
106.725,11.53,27.567,1550942982.86420
106.724,11.52,27.571,1550942993.39215
106.72,11.53,27.576,1550943003.94098
106.725,11.54,27.581,1550943014.43435
106.723,11.53,27.578,1550943024.96211
106.721,11.53,27.589,1550943035.46176
106.726,11.54,27.592,1550943045.97432
106.727,11.54,27.59,1550943056.48572
106.724,11.54,27.599,1550943067.01055
106.729,11.55,27.604,1550943077.52827
106.73,11.55,27.607,1550943088.04610
106.727,11.55,27.605,1550943098.57103
106.729,11.55,27.604,1550943109.11126
106.728,11.55,27.606,1550943119.63208
106.733,11.55,27.619,1550943130.12218
106.729,11.56,27.616,1550943140.66571
106.732,11.56,27.624,1550943151.14560
106.734,11.57,27.628,1550943161.64234
106.731,11.57,27.628,1550943172.15224
106.737,11.57,27.633,1550943182.68457
106.735,11.57,27.641,1550943193.23834
106.736,11.57,27.645,1550943203.73156
106.738,11.57,27.639,1550943214.26515
106.737,11.58,27.651,1550943224.79665
106.735,11.58,27.647,1550943235.32021
106.739,11.58,27.649,1550943245.84428
106.737,11.58,27.663,1550943256.33707
106.74,11.59,27.657,1550943266.85452
106.741,11.59,27.657,1550943277.37806
106.74,11.59,27.675,1550943287.87464
106.742,11.59,27.677,1550943298.36037
106.742,11.59,27.67,1550943308.89431
106.744,11.6,27.682,1550943319.37895
106.742,11.6,27.666,1550943329.90660
106.741,11.6,27.67,1550943340.42912
106.74,11.6,27.668,1550943350.95747
106.746,11.61,27.668,1550943361.48698
106.742,11.61,27.676,1550943372.03176
106.745,11.61,27.688,1550943382.57270
106.748,11.62,27.677,1550943393.08360
106.749,11.61,27.686,1550943403.61658
106.747,11.62,27.697,1550943414.10989
106.75,11.63,27.698,1550943424.63877
106.75,11.62,27.703,1550943435.15957
106.749,11.62,27.703,1550943445.69622
106.754,11.62,27.713,1550943456.18518
106.753,11.62,27.704,1550943466.71608
106.752,11.62,27.711,1550943477.23950
106.753,11.63,27.715,1550943487.76105
106.755,11.63,27.715,1550943498.29184
106.753,11.63,27.723,1550943508.78168
106.756,11.63,27.724,1550943519.31208
106.759,11.64,27.733,1550943529.84103
106.752,11.63,27.733,1550943540.37050
106.755,11.63,27.729,1550943550.89890
106.76,11.65,27.733,1550943561.43379
106.758,11.64,27.735,1550943571.94825
106.759,11.65,27.739,1550943582.45722
106.762,11.65,27.747,1550943592.99665
106.755,11.65,27.746,1550943603.56727
106.765,11.64,27.764,1550943614.11014
106.758,11.65,27.75,1550943624.63145
106.76,11.64,27.753,1550943635.15438
106.763,11.65,27.757,1550943645.66875
106.759,11.65,27.753,1550943656.18524
106.764,11.65,27.745,1550943666.72513
106.763,11.66,27.766,1550943677.26824
106.764,11.66,27.762,1550943687.75530
106.766,11.66,27.749,1550943698.28238
106.763,11.66,27.759,1550943708.79066
106.768,11.66,27.775,1550943719.27255
106.768,11.67,27.766,1550943729.79004
106.769,11.67,27.771,1550943740.30732
106.769,11.67,27.785,1550943750.79141
106.766,11.67,27.783,1550943761.29231
106.766,11.67,27.777,1550943771.82205
106.772,11.68,27.797,1550943782.31705
106.77,11.67,27.789,1550943792.83608
106.774,11.68,27.792,1550943803.35587
106.77,11.68,27.793,1550943813.88970
106.774,11.68,27.802,1550943824.38022
106.774,11.68,27.797,1550943834.87163
106.77,11.67,27.785,1550943845.41913
