id,time,vlt_file,p,p_water,depth,t,oxygen_peak_current,oxygen_conc,oxygen_sat,h2s_conc,mean_depth,mean_oxygen_conc,sd_oxygen_conc,mean_oxygen_sat,sd_oxygen_sat
95,1550893592,20190222_watercolumn-voltammetry_NF18-2-95,154.673,52.09,5.130326444,21.689442,23.803,17.3735653,11.82955277,,,,,,
92,1550893542,20190222_watercolumn-voltammetry_NF18-2-92,154.706,52.123,5.133576603,21.695771,24.95,21.267745,14.48579943,,,,,,
206,1550895559,20190222_watercolumn-voltammetry_NF18-2-206,154.72,52.137,5.134955458,22.036262,,,,,,,,,
142,1550894351,20190222_watercolumn-voltammetry_NF18-2-142,154.725,52.142,5.135447906,21.651333,25.993,24.8088343,16.88638063,,,,,,
208,1550895591,20190222_watercolumn-voltammetry_NF18-2-208,154.812,52.229,5.144016507,21.940129,,,,,,,,,
142,1550894409,20190222_watercolumn-voltammetry_NF18-2-142,154.818,52.235,5.144607445,21.662193,25.954,24.6764254,16.80960662,,5.14,18.3275884,9.072399662,12.48076981,6.176266674
207,1550895575,20190222_watercolumn-voltammetry_NF18-2-207,154.849,52.266,5.147660624,21.984403,,,,,,,,,
211,1550895638,20190222_watercolumn-voltammetry_NF18-2-211,154.877,52.294,5.150418335,21.862621,,,,,,,,,
143,1550894426,20190222_watercolumn-voltammetry_NF18-2-143,154.878,52.295,5.150516824,21.66166,20.305,5.4975055,3.74632219,,,,,,
209,1550895607,20190222_watercolumn-voltammetry_NF18-2-209,154.882,52.299,5.150910783,21.914361,,,,,,,,,
210,1550895622,20190222_watercolumn-voltammetry_NF18-2-210,154.915,52.332,5.154160942,21.883264,,,,,,,,,
144,1550894442,20190222_watercolumn-voltammetry_NF18-2-144,157.419,54.836,5.400779053,21.66206,19.537,2.8900687,2.001788244,,,,,,
97,1550893624,20190222_watercolumn-voltammetry_NF18-2-97,158.367,55.784,5.494147252,21.681647,24.789,20.7211339,14.4438416,,,,,,
102,1550893703,20190222_watercolumn-voltammetry_NF18-2-102,158.443,55.86,5.501632466,21.669588,,,,,,,,,
103,1550893719,20190222_watercolumn-voltammetry_NF18-2-103,158.457,55.874,5.503011321,21.670521,24.044,18.1917844,12.68542669,,5.49,16.10436375,6.094354052,11.2278065,4.254295731
98,1550893640,20190222_watercolumn-voltammetry_NF18-2-98,158.46,55.877,5.50330679,21.678383,24.71,20.452921,14.26442361,,,,,,
101,1550893687,20190222_watercolumn-voltammetry_NF18-2-101,158.478,55.895,5.505079604,21.672586,23.986,17.9948686,12.55023923,,,,,,
104,1550893734,20190222_watercolumn-voltammetry_NF18-2-104,158.49,55.907,5.50626148,21.670055,23.509,16.3754059,11.42111963,,,,,,
99,1550893655,20190222_watercolumn-voltammetry_NF18-2-99,158.508,55.925,5.508034294,21.676983,,,,,,,,,
100,1550893670,20190222_watercolumn-voltammetry_NF18-2-100,158.515,55.932,5.508723722,21.674252,,,,,,,,,
107,1550893784,20190222_watercolumn-voltammetry_NF18-2-107,159.911,57.328,5.646215289,21.665991,23.606,16.7047306,11.75441666,,,,,,
105,1550893752,20190222_watercolumn-voltammetry_NF18-2-105,159.918,57.335,5.646904716,21.66679,24.143,18.5278993,13.03806031,,,,,,
106,1550893769,20190222_watercolumn-voltammetry_NF18-2-106,159.959,57.376,5.650942792,21.665991,23.588,16.6436188,11.71493023,,,,,,
108,1550893800,20190222_watercolumn-voltammetry_NF18-2-108,161.335,58.752,5.786464566,21.661194,24.986,21.3899686,15.18395302,,5.70,17.77215004,2.040330929,12.55286647,1.462038027
109,1550893816,20190222_watercolumn-voltammetry_NF18-2-109,161.372,58.789,5.790108683,21.663459,23.279,15.5945329,11.07297214,,,,,,
111,1550893849,20190222_watercolumn-voltammetry_NF18-2-111,163.217,60.634,5.971822108,21.655597,20.222,5.2157122,3.745258226,,,,,,
110,1550893832,20190222_watercolumn-voltammetry_NF18-2-110,163.235,60.652,5.973594922,21.659461,22.245,12.0839995,8.678739835,,5.98,8.7047433,2.805040761,6.253123227,2.014924944
112,1550893865,20190222_watercolumn-voltammetry_NF18-2-112,163.37,60.787,5.986891026,21.655397,21.282,8.8145182,6.335371621,,,,,,
114,1550893897,20190222_watercolumn-voltammetry_NF18-2-114,165.119,62.536,6.159149443,21.649201,20.276,5.3990476,3.921637206,0.80,,,,,
113,1550893880,20190222_watercolumn-voltammetry_NF18-2-113,165.125,62.542,6.159740381,21.65,,,,,,,,,
116,1550893929,20190222_watercolumn-voltammetry_NF18-2-116,165.186,62.603,6.165748251,21.649467,18.903,0.7375753,0.535963075,0.20,6.18,1.8975678,2.522466132,1.378060358,1.832479534
117,1550893946,20190222_watercolumn-voltammetry_NF18-2-117,165.478,62.895,6.194507232,21.648002,,,,,,,,,
115,1550893913,20190222_watercolumn-voltammetry_NF18-2-115,165.496,62.913,6.196280046,21.649268,,,,1.09,,,,,
118,1550893962,20190222_watercolumn-voltammetry_NF18-2-118,165.626,63.043,6.209083701,21.646602,18.555,-0.4439195,-0.323419208,,,,,,
119,1550893977,20190222_watercolumn-voltammetry_NF18-2-119,165.683,63.1,6.214697612,21.647069,18.468,-0.7392932,-0.538804671,,,,,,
121,1550894009,20190222_watercolumn-voltammetry_NF18-2-121,165.902,63.319,6.236266848,21.647868,18.462,-0.7596638,-0.554390697,1.74,,,,,
145,1550894458,20190222_watercolumn-voltammetry_NF18-2-145,165.913,63.33,6.237350234,21.658795,18.458,-0.7732442,-0.56444888,,,,,,
120,1550893993,20190222_watercolumn-voltammetry_NF18-2-120,165.988,63.405,6.244736959,21.645936,19.136,1.5286336,1.116112589,1.28,6.27,-0.5865137,1.230214045,-0.429290313,0.900207055
122,1550894026,20190222_watercolumn-voltammetry_NF18-2-122,166.348,63.765,6.280193237,21.64487,18.011,-2.2908539,-1.676233943,1.43,,,,,
126,1550894090,20190222_watercolumn-voltammetry_NF18-2-126,166.638,64.055,6.308755238,21.639407,18.896,0.7138096,0.523159067,,,,,,
123,1550894043,20190222_watercolumn-voltammetry_NF18-2-123,166.9,64.317,6.33455953,21.645137,18.16,-1.784984,-1.310425655,1.42,,,,,
146,1550894475,20190222_watercolumn-voltammetry_NF18-2-146,166.932,64.349,6.337711199,21.657396,,,,1.17,,,,,
124,1550894059,20190222_watercolumn-voltammetry_NF18-2-124,167.079,64.496,6.352189179,21.642472,18.53,-0.528797,-0.388608168,1.23,,,,,
125,1550894074,20190222_watercolumn-voltammetry_NF18-2-125,167.094,64.511,6.353666524,21.641872,18.751,0.2215201,0.162806005,0.37,,,,,
128,1550894124,20190222_watercolumn-voltammetry_NF18-2-128,167.33,64.747,6.376910084,21.643005,18.641,-0.1519409,-0.111828812,,,,,,
129,1550894141,20190222_watercolumn-voltammetry_NF18-2-129,167.364,64.781,6.380258732,21.640273,18.858,0.5847958,0.430477373,,6.38,0.183796767,1.649933561,-0.290873946,1.216180253
127,1550894108,20190222_watercolumn-voltammetry_NF18-2-127,167.421,64.838,6.385872643,21.641739,18.213,-1.6050437,-1.181931177,,,,,,
130,1550894157,20190222_watercolumn-voltammetry_NF18-2-130,167.434,64.851,6.387153009,21.637741,18.611,-0.2537939,-0.186891371,,,,,,
131,1550894172,20190222_watercolumn-voltammetry_NF18-2-131,167.575,64.992,6.401040051,21.643871,,,,,,,,,
135,1550894236,20190222_watercolumn-voltammetry_NF18-2-135,167.589,65.006,6.402418906,21.639207,18.382,-1.0312718,-0.760141475,,,,,,
132,1550894188,20190222_watercolumn-voltammetry_NF18-2-132,167.628,65.045,6.406260003,21.640339,20.016,4.5163216,3.329783307,,,,,,
133,1550894204,20190222_watercolumn-voltammetry_NF18-2-133,167.636,65.053,6.40704792,21.640872,,,,,,,,,
134,1550894219,20190222_watercolumn-voltammetry_NF18-2-134,167.664,65.081,6.409805631,21.640606,18.657,-0.0976193,-0.071988335,1.20,,,,,
159,1550894687,20190222_watercolumn-voltammetry_NF18-2-159,167.836,65.253,6.426745852,21.65633,18.734,0.1638034,0.12095295,43.37,,,,,
160,1550894703,20190222_watercolumn-voltammetry_NF18-2-160,167.854,65.271,6.428518666,21.652532,18.829,0.4863379,0.359127633,2.92,,,,,
161,1550894719,20190222_watercolumn-voltammetry_NF18-2-161,167.898,65.315,6.432852211,21.649667,18.99,1.032949,0.762923901,29.77,,,,,
162,1550894735,20190222_watercolumn-voltammetry_NF18-2-162,167.966,65.383,6.439549508,21.652332,18.448,-0.8071952,-0.59645463,9.25,,,,,
165,1550894783,20190222_watercolumn-voltammetry_NF18-2-165,168.136,65.553,6.456292751,21.652066,20.021,4.5332971,3.353129271,8.95,6.48,0.142159637,1.364053453,0.10455809,1.00957342
164,1550894767,20190222_watercolumn-voltammetry_NF18-2-164,168.213,65.63,6.463876455,21.652199,18.976,0.9854176,0.729216194,36.74,,,,,
163,1550894751,20190222_watercolumn-voltammetry_NF18-2-163,168.22,65.637,6.464565882,21.652266,,,,,,,,,
150,1550894540,20190222_watercolumn-voltammetry_NF18-2-150,168.232,65.649,6.465747758,21.662326,,,,,,,,,
153,1550894589,20190222_watercolumn-voltammetry_NF18-2-153,168.234,65.651,6.465944737,21.666257,,,,63.15,,,,,
155,1550894622,20190222_watercolumn-voltammetry_NF18-2-155,168.289,65.706,6.471361669,21.662326,,,,36.82,,,,,
154,1550894605,20190222_watercolumn-voltammetry_NF18-2-154,168.32,65.737,6.474414848,21.666057,,,,,,,,,
156,1550894639,20190222_watercolumn-voltammetry_NF18-2-156,168.347,65.764,6.477074069,21.657063,,,,65.56,,,,,
157,1550894654,20190222_watercolumn-voltammetry_NF18-2-157,168.347,65.764,6.477074069,21.659328,,,,61.86,,,,,
152,1550894572,20190222_watercolumn-voltammetry_NF18-2-152,168.349,65.766,6.477271048,21.666124,,,,61.00,,,,,
158,1550894671,20190222_watercolumn-voltammetry_NF18-2-158,168.36,65.777,6.478354435,21.657796,,,,,,,,,
151,1550894555,20190222_watercolumn-voltammetry_NF18-2-151,168.46,65.877,6.488203401,21.664591,,,,,,,,,
147,1550894492,20190222_watercolumn-voltammetry_NF18-2-147,168.496,65.913,6.491749029,21.655864,,,,2.78,,,,,
167,1550894814,20190222_watercolumn-voltammetry_NF18-2-167,168.51,65.927,6.493127884,21.648801,,,,,,,,,
137,1550894268,20190222_watercolumn-voltammetry_NF18-2-137,168.552,65.969,6.49726445,21.642472,18.775,0.3030025,0.224636952,8.22,,,,,
166,1550894799,20190222_watercolumn-voltammetry_NF18-2-166,168.585,66.002,6.500514608,21.651599,18.442,-0.8275658,-0.613752466,41.18,,,,,
138,1550894285,20190222_watercolumn-voltammetry_NF18-2-138,168.597,66.014,6.501696484,21.638607,18.418,-0.9090482,-0.674074475,65.08,,,,,
136,1550894252,20190222_watercolumn-voltammetry_NF18-2-136,168.6,66.017,6.501991953,21.637075,18.462,-0.7596638,-0.563298066,1.66,,,,,
169,1550894849,20190222_watercolumn-voltammetry_NF18-2-169,168.633,66.05,6.505242112,21.649601,18.673,-0.0432977,-0.032119125,74.51,,,,,
168,1550894831,20190222_watercolumn-voltammetry_NF18-2-168,168.637,66.054,6.505636071,21.650533,18.952,0.9039352,0.670584782,12.57,,,,,
171,1550894880,20190222_watercolumn-voltammetry_NF18-2-171,168.648,66.065,6.506719457,21.652799,18.398,-0.9769502,-0.724827568,50.12,,,,,
170,1550894865,20190222_watercolumn-voltammetry_NF18-2-170,168.652,66.069,6.507113416,21.648601,18.378,-1.0448522,-0.775166359,88.73,,,,,
172,1550894896,20190222_watercolumn-voltammetry_NF18-2-172,168.652,66.069,6.507113416,21.6508,18.34,-1.173866,-0.870914688,59.10,,,,,
173,1550894912,20190222_watercolumn-voltammetry_NF18-2-173,168.681,66.098,6.509969616,21.655197,18.806,0.4082506,0.302965137,53.10,,,,,
148,1550894508,20190222_watercolumn-voltammetry_NF18-2-148,168.961,66.378,6.537546721,21.658129,,,,75.57,,,,,
178,1550894996,20190222_watercolumn-voltammetry_NF18-2-178,168.991,66.408,6.540501411,21.666124,,,,228.68,,,,,
175,1550894944,20190222_watercolumn-voltammetry_NF18-2-175,168.996,66.413,6.540993859,21.659595,,,,107.52,,,,,
176,1550894961,20190222_watercolumn-voltammetry_NF18-2-176,169.02,66.437,6.543357611,21.66106,,,,303.01,,,,,
177,1550894978,20190222_watercolumn-voltammetry_NF18-2-177,169.03,66.447,6.544342508,21.667323,,,,196.13,,,,,
182,1550895072,20190222_watercolumn-voltammetry_NF18-2-182,169.043,66.46,6.545622873,21.683379,,,,128.97,,,,,
181,1550895053,20190222_watercolumn-voltammetry_NF18-2-181,169.048,66.465,6.546115322,21.678316,,,,152.33,,,,,
180,1550895035,20190222_watercolumn-voltammetry_NF18-2-180,169.072,66.489,6.548479073,21.678383,,,,90.86,,,,,
179,1550895016,20190222_watercolumn-voltammetry_NF18-2-179,169.084,66.501,6.549660949,21.67765,,,,173.15,,,,,
188,1550895193,20190222_watercolumn-voltammetry_NF18-2-188,169.084,66.501,6.549660949,21.718288,,,,132.72,,,,,
185,1550895129,20190222_watercolumn-voltammetry_NF18-2-185,169.096,66.513,6.550842825,21.696837,,,,310.04,,,,,
184,1550895110,20190222_watercolumn-voltammetry_NF18-2-184,169.105,66.522,6.551729232,21.695038,,,,293.19,,,,,
186,1550895148,20190222_watercolumn-voltammetry_NF18-2-186,169.113,66.53,6.55251715,21.700767,,,,366.16,,,,,
149,1550894524,20190222_watercolumn-voltammetry_NF18-2-149,169.142,66.559,6.55537335,21.65573,,,,316.52,,,,,
183,1550895091,20190222_watercolumn-voltammetry_NF18-2-183,169.143,66.56,6.555471839,21.691707,,,,230.34,,,,,
174,1550894928,20190222_watercolumn-voltammetry_NF18-2-174,169.154,66.571,6.556555226,21.653199,,,,115.74,,,,,
187,1550895170,20190222_watercolumn-voltammetry_NF18-2-187,169.466,66.883,6.587284,21.712092,,,,128.85,,,,,
189,1550895216,20190222_watercolumn-voltammetry_NF18-2-189,169.735,67.152,6.613777719,21.722817,,,,124.76,,,,,
190,1550895238,20190222_watercolumn-voltammetry_NF18-2-190,169.899,67.316,6.629930023,21.745066,,,,162.93,,,,,
191,1550895263,20190222_watercolumn-voltammetry_NF18-2-191,169.925,67.342,6.632490754,21.757323,,,,149.53,,,,,
198,1550895422,20190222_watercolumn-voltammetry_NF18-2-198,170.936,68.353,6.732063802,21.929808,,,,555.80,,,,,
200,1550895461,20190222_watercolumn-voltammetry_NF18-2-200,170.96,68.377,6.734427553,21.950049,,,,562.24,,,,,
199,1550895442,20190222_watercolumn-voltammetry_NF18-2-199,170.97,68.387,6.73541245,21.943658,,,,546.79,,,,,
201,1550895478,20190222_watercolumn-voltammetry_NF18-2-201,170.985,68.402,6.736889795,21.95744,,,,772.52,,,,,
194,1550895332,20190222_watercolumn-voltammetry_NF18-2-194,170.989,68.406,6.737283754,21.852099,,,,174.93,,,,,
197,1550895403,20190222_watercolumn-voltammetry_NF18-2-197,171.017,68.434,6.740041464,21.92335,,,,177.65,,,,,
192,1550895286,20190222_watercolumn-voltammetry_NF18-2-192,171.018,68.435,6.740139954,21.774308,,,,176.55,,,,,
196,1550895379,20190222_watercolumn-voltammetry_NF18-2-196,171.019,68.436,6.740238443,21.902042,,,,175.71,,,,,
193,1550895310,20190222_watercolumn-voltammetry_NF18-2-193,171.031,68.448,6.741420319,21.818134,,,,176.72,,,,,
195,1550895355,20190222_watercolumn-voltammetry_NF18-2-195,171.056,68.473,6.743882561,21.876871,,,,184.80,,,,,
205,1550895542,20190222_watercolumn-voltammetry_NF18-2-205,172.413,69.83,6.877533031,22.095436,,,,682.15,,,,,
203,1550895510,20190222_watercolumn-voltammetry_NF18-2-203,172.443,69.86,6.880487721,22.023747,,,,682.22,,,,,
204,1550895526,20190222_watercolumn-voltammetry_NF18-2-204,172.467,69.884,6.882851473,22.060358,,,,680.53,6.88,0,,0,
202,1550895494,20190222_watercolumn-voltammetry_NF18-2-202,172.474,69.891,6.8835409,21.963432,,,,,,,,,
